name,amenity,shop,building,leisure,comuna,lon,lat,tipo_osm,Zcap
Comercial China,,supermarket,,,Quinta Normal,-70.7069001,-33.4323564,supermarket,10
Shell,fuel,,,,Quinta Normal,-70.68031170000002,-33.4381521,fuel,10
2.0 Car Wash,car_wash,,,,Quinta Normal,-70.6996437,-33.4362076,car_wash,2
Copec,fuel,,,,Quinta Normal,-70.7103495,-33.4167293,fuel,10
Copec,fuel,,,,Quinta Normal,-70.7028163,-33.4250671,fuel,10
Copec,fuel,,,,Quinta Normal,-70.6925922,-33.4461382,fuel,10
JLC,fuel,,,,Quinta Normal,-70.6920252,-33.4326478,fuel,10
Shell,fuel,,,,Quinta Normal,-70.702409,-33.445749199999995,fuel,10
Copec,fuel,,,,Quinta Normal,-70.6920909,-33.43317220000001,fuel,10
Emporio Market,,supermarket,,,Quinta Normal,-70.6915028,-33.43818780000001,supermarket,10
,parking,,,,Quinta Normal,-70.6862298,-33.432087200000005,parking,25
Estacionamiento Tramo 2,parking,,,,Quinta Normal,-70.7145783,-33.4101776,parking,25
Estacionamiento Tramo 2,parking,,,,Quinta Normal,-70.7193308,-33.41099259999999,parking,25
,,,commercial,,Quinta Normal,-70.68700735528611,-33.43749576631878,commercial,10
Estadio Municipal Bernardo O'Higgins,,,,stadium,Quinta Normal,-70.69902580697857,-33.4466475147056,stadium,20
Estadio José Climent,,,,stadium,Quinta Normal,-70.7053373882377,-33.42501752866605,stadium,20
Santa Isabel,,supermarket,yes,,Quinta Normal,-70.70179184606872,-33.44105047935114,supermarket,10
Acuenta,,supermarket,yes,,Quinta Normal,-70.71206655737544,-33.415572374472056,supermarket,10
Centro de Reparto Chilexpress,,,commercial,,Quinta Normal,-70.69106202843412,-33.43217084457039,commercial,10
Monserrat,,supermarket,yes,,Quinta Normal,-70.69290462536405,-33.43045200947768,supermarket,10
Santa Isabel,,supermarket,supermarket,,Quinta Normal,-70.70900965379745,-33.423926320457944,supermarket,10
Lider S.A.,fuel,,roof,,Quinta Normal,-70.70746715000827,-33.40887079999783,fuel,10
Acuenta,,supermarket,yes,,Quinta Normal,-70.7042993211834,-33.42804614168959,supermarket,10
Unimarc,,supermarket,yes,,Quinta Normal,-70.69771200467108,-33.41886097657916,supermarket,10
Express de Lider,,supermarket,yes,,Quinta Normal,-70.694223107492,-33.423350975642904,supermarket,10
Lider,,supermarket,supermarket,,Quinta Normal,-70.68108972138019,-33.432310107578004,supermarket,10
Shell,fuel,,roof,,Quinta Normal,-70.69037563971531,-33.423630980758915,fuel,10
Petrobras,fuel,,roof,,Quinta Normal,-70.68744700318852,-33.42466180863727,fuel,10
Copec,fuel,,roof,,Quinta Normal,-70.68813818760962,-33.432811737024295,fuel,10
,,,commercial,,Quinta Normal,-70.7144177191359,-33.426754212891325,commercial,10
,,,commercial,,Quinta Normal,-70.71416221935891,-33.42675899051419,commercial,10
Colegio Polivalente Falcón College,school,,commercial,,Quinta Normal,-70.7139879049288,-33.42688196957361,school,13
,,,commercial,,Quinta Normal,-70.7137585967702,-33.42685677857587,commercial,10
,,,commercial,,Quinta Normal,-70.71003420681976,-33.427521475945895,commercial,10
,,,commercial,,Quinta Normal,-70.70925822808375,-33.42767090546601,commercial,10
,,,commercial,,Quinta Normal,-70.70822912212918,-33.42787709233202,commercial,10
Copec,fuel,,roof,,Quinta Normal,-70.69604715036557,-33.43858710525335,fuel,10
Copec,fuel,,roof,,Quinta Normal,-70.69434706776701,-33.438256903151085,fuel,10
Shell,fuel,,roof,,Quinta Normal,-70.68119487273403,-33.43580096021239,fuel,10
,,,commercial,,Quinta Normal,-70.71202054999392,-33.426809250005306,commercial,10
