name,amenity,shop,building,leisure,comuna,lon,lat,tipo_osm,Zcap
Hospital Padre Hurtado,parking,,,,San Ramón,-70.6342525,-33.55167999999999,parking,25
Terpel,fuel,,,,San Ramón,-70.6336866,-33.54716969999999,fuel,10
Copec,fuel,,,,San Ramón,-70.6368081,-33.52126860000001,fuel,10
wowi,,supermarket,,,San Ramón,-70.64064940000002,-33.535395,supermarket,10
Hospital Padre Hurtado,hospital,,,,San Ramón,-70.63511275955942,-33.55238250102736,hospital,6
Lider,,supermarket,yes,,San Ramón,-70.63458311062261,-33.54563647351552,supermarket,10
Petrobras,fuel,,roof,,San Ramón,-70.63453075128602,-33.540376832272315,fuel,10
,,,retail,,San Ramón,-70.63489342171441,-33.53443672242813,retail,6
Copec,fuel,,,,San Ramón,-70.64979607225284,-33.53985541615383,fuel,10
Alvi Mayorista,,supermarket,yes,,San Ramón,-70.63429322093924,-33.546286801118576,supermarket,10
,,,commercial,,San Ramón,-70.646006899987,-33.547353599990274,commercial,10
Hospital Padre Hurtado,parking,,,,San Ramón,-70.6361289265714,-33.55291226092657,parking,25
Shell,fuel,,,,San Ramón,-70.63622191229119,-33.542689788796906,fuel,10
Estadio Municipal de San Ramón,,,,stadium,San Ramón,-70.64278383350752,-33.53214937830361,stadium,20
,parking,,,,San Ramón,-70.63400968238157,-33.545676962796165,parking,25
,parking,,,,San Ramón,-70.63432692299601,-33.54639978723338,parking,25
Estacionamiento CEVS,parking,,,,San Ramón,-70.64927080800332,-33.54112453228682,parking,25
,parking,,,,San Ramón,-70.64980485014972,-33.54062275032303,parking,25
